iter	Logloss
0	0.6728909499
1	0.656449296
2	0.640284122
3	0.626195858
4	0.6126927983
5	0.6006771623
6	0.5900077706
7	0.5799781625
8	0.572170901
9	0.5649588266
10	0.5579396062
11	0.5517180093
12	0.5457161059
13	0.5406978805
14	0.5361889276
15	0.5317263373
16	0.5283525451
17	0.5248598963
18	0.5220237963
19	0.5191687732
20	0.5164494186
21	0.5139100076
22	0.511666164
23	0.5092720968
24	0.5073417553
25	0.5060107295
26	0.504260209
27	0.5027871062
28	0.5012201629
29	0.4997050899
30	0.4983108063
31	0.4972205112
32	0.4957734868
33	0.4945525904
34	0.4935433986
35	0.492545468
36	0.4912396089
37	0.490167824
38	0.4890767511
39	0.4879462946
40	0.4872630249
41	0.4864492816
42	0.4858551475
43	0.4850279602
44	0.4843916254
45	0.4837374441
46	0.4826878021
47	0.481782772
48	0.4811134508
49	0.4803286893
50	0.479697382
51	0.4787932876
52	0.4778602023
53	0.4772330405
54	0.4762630326
55	0.4757510771
56	0.4751183035
57	0.4745227225
58	0.474101817
59	0.47367655
60	0.4731161698
61	0.4726963566
62	0.4721894701
63	0.4717221302
64	0.4709642476
65	0.4705370826
66	0.47020001
67	0.4696635688
68	0.469278379
69	0.4687005836
70	0.4682781266
71	0.4677687126
72	0.4671913508
73	0.4666754322
74	0.4664212928
75	0.4659533313
76	0.4655144343
77	0.4651962649
78	0.4645138001
79	0.4639403199
80	0.463393745
81	0.4626475731
82	0.4620231289
83	0.4615918325
84	0.4608504137
85	0.4605859651
86	0.4598599654
87	0.45935815
88	0.458717522
89	0.4584305803
90	0.4581288052
91	0.4576661619
92	0.4569078783
93	0.4564645422
94	0.4560072528
95	0.4555571644
96	0.4548396592
97	0.4545133731
98	0.4539164271
99	0.4533775276
100	0.4527502944
101	0.4521888296
102	0.4518174806
103	0.4513063665
104	0.4509859202
105	0.4505615731
106	0.4500652116
107	0.4497036511
108	0.4493322465
109	0.448925232
110	0.4482402432
111	0.4476868886
112	0.4472792168
113	0.446787584
114	0.446418633
115	0.4460303597
116	0.4453682571
117	0.4450617419
118	0.4447358243
119	0.4440981921
120	0.4436797397
121	0.4433816275
122	0.4428869845
123	0.4425558982
124	0.4420529596
125	0.4413988248
126	0.4409102846
127	0.4404727313
128	0.4402007743
129	0.4398299328
130	0.4391638286
131	0.4389294987
132	0.4382630421
133	0.4377553558
134	0.4371754687
135	0.4363685061
136	0.4359704116
137	0.4355374488
138	0.4349692224
139	0.4345215361
140	0.4341236222
141	0.4335086364
142	0.4328770221
143	0.432433595
144	0.4317154415
145	0.4313311751
146	0.4309842664
147	0.4305402244
148	0.4300304292
149	0.4295384373
150	0.4289750583
151	0.428584278
152	0.4279946379
153	0.4275208673
154	0.4271473374
155	0.426700222
156	0.4261514944
157	0.4255981991
158	0.424886137
159	0.4245011478
160	0.4238822684
161	0.4233545515
162	0.4227089281
163	0.4221750498
164	0.4215756508
165	0.4210385102
166	0.4205193326
167	0.4201075637
168	0.4196373541
169	0.4192219267
170	0.418884496
171	0.4182611118
172	0.4177738625
173	0.4171043812
174	0.4168184389
175	0.4162734479
176	0.415840284
177	0.4150871535
178	0.4143906052
179	0.4138270741
180	0.4134890553
181	0.412743357
182	0.4123721431
183	0.4115954893
184	0.4109813988
185	0.4105332969
186	0.4100095886
187	0.4095202788
188	0.4089344829
189	0.4085130054
190	0.4080639564
191	0.4077452058
192	0.4074097883
193	0.4070439968
194	0.4065072099
195	0.4059329424
196	0.4053920516
197	0.404929456
198	0.4040911639
199	0.4034298768
